depth,control_type,name,automation_id,class_name,framework_id,handle,left,top,right,bottom
0,Window,Orpheus - <Abbey A-02 (local)>     ,frmOrpheus,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,68118,4056,147,4816,873
1,Window,  Fluids Distribution,frmFluids,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,2035502,4064,215,4808,804
2,Window,Select a Fluid,frmSelectTreeDialog,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,2821616,4036,217,4836,802
3,List,,lstVersion,WindowsForms10.LISTBOX.app.0.141b42a_r7_ad1,WinForm,987078,4053,754,4065,768
3,Button,Cancel,btnCancel,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,1577044,4723,731,4811,754
3,Text,*,lblSearchAll,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,1184238,4790,280,4815,304
3,Text,Column to Search,lblSearchColumns,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,594392,4539,257,4648,273
3,ComboBox,,cbMRU,WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1,WinForm,528912,4172,260,4362,282
4,Text,,,,,,3,3,170,19
4,Button,Open,,,,,4346,261,4361,281
3,Edit,,txtSearch,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,WinForm,987650,4654,282,4786,302
3,Pane,Save Criteria,pnlSelectDiagram,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,2560002,4632,638,4815,660
3,ComboBox,Select a Fluid,cbSearchColumns,WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1,WinForm,2494944,4654,256,4804,278
4,Text,Select a Fluid,,,,,3,3,130,19
4,Button,Open,,,,,4788,257,4803,277
3,Text,Brine (local),lblSelection,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,6033722,4123,642,4623,662
3,Text,Recent Selections,lblMRU,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,987586,4059,263,4162,277
3,Pane,,pnlMain,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,1774016,4061,312,4811,632
4,Pane,,spTreeView,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,1905098,4061,312,4811,632
5,Pane,,1577204,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,1577204,4061,312,4338,632
6,Tree,,tvLeftSide,WindowsForms10.SysTreeView32.app.0.141b42a_r7_ad1,WinForm,921078,4062,313,4337,631
